,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
29,2021-09-03,172.3529349,157.7761592,180.9052754,172.3529349,172.3529349,-3.09246075,-3.09246075,-3.09246075,-3.09246075,-3.09246075,-3.09246075,0,0,0,169.2604742
30,2021-09-07,172.3992837,157.3898684,182.3607025,172.3992837,172.3992837,-2.394252798,-2.394252798,-2.394252798,-2.394252798,-2.394252798,-2.394252798,0,0,0,170.0050309
31,2021-09-08,172.4108709,156.9960096,182.621599,172.4108709,172.4108709,-2.285560092,-2.285560092,-2.285560092,-2.285560092,-2.285560092,-2.285560092,0,0,0,170.1253109
32,2021-09-09,172.4224582,157.5668212,182.1321532,172.4224582,172.4224582,-2.524614684,-2.524614684,-2.524614684,-2.524614684,-2.524614684,-2.524614684,0,0,0,169.8978435
33,2021-09-10,172.4340454,156.0090814,180.564119,172.4340454,172.4340454,-3.09246075,-3.09246075,-3.09246075,-3.09246075,-3.09246075,-3.09246075,0,0,0,169.3415846
34,2021-09-13,172.468807,158.3639627,182.641697,172.468807,172.468807,-2.541215299,-2.541215299,-2.541215299,-2.541215299,-2.541215299,-2.541215299,0,0,0,169.9275917
35,2021-09-14,172.4803942,157.2603873,182.7442834,172.4803942,172.4803942,-2.394252798,-2.394252798,-2.394252798,-2.394252798,-2.394252798,-2.394252798,0,0,0,170.0861414
36,2021-09-15,172.4919814,157.8153003,182.8996878,172.4919814,172.4919814,-2.285560092,-2.285560092,-2.285560092,-2.285560092,-2.285560092,-2.285560092,0,0,0,170.2064213
37,2021-09-16,172.5035686,157.2359156,181.9429543,172.5035686,172.5035686,-2.524614684,-2.524614684,-2.524614684,-2.524614684,-2.524614684,-2.524614684,0,0,0,169.9789539
38,2021-09-17,172.5151558,157.2606222,180.9657459,172.5151558,172.5151558,-3.09246075,-3.09246075,-3.09246075,-3.09246075,-3.09246075,-3.09246075,0,0,0,169.422695
39,2021-09-20,172.5499174,157.6447795,181.725866,172.5499174,172.5499174,-2.541215299,-2.541215299,-2.541215299,-2.541215299,-2.541215299,-2.541215299,0,0,0,170.0087021
40,2021-09-21,172.5615046,158.5867338,182.7153604,172.5615046,172.5615046,-2.394252798,-2.394252798,-2.394252798,-2.394252798,-2.394252798,-2.394252798,0,0,0,170.1672518
41,2021-09-22,172.5730918,158.6380414,181.5758156,172.5730918,172.5730918,-2.285560092,-2.285560092,-2.285560092,-2.285560092,-2.285560092,-2.285560092,0,0,0,170.2875317
42,2021-09-23,172.584679,157.7662405,182.433451,172.584679,172.584679,-2.524614684,-2.524614684,-2.524614684,-2.524614684,-2.524614684,-2.524614684,0,0,0,170.0600643
43,2021-09-24,172.5962662,157.0801953,181.3741727,172.5962662,172.5962662,-3.09246075,-3.09246075,-3.09246075,-3.09246075,-3.09246075,-3.09246075,0,0,0,169.5038055
44,2021-09-27,172.6310279,158.07077,181.5974896,172.6310279,172.6310279,-2.541215299,-2.541215299,-2.541215299,-2.541215299,-2.541215299,-2.541215299,0,0,0,170.0898126
45,2021-09-28,172.6426151,157.8119753,182.6947846,172.6426151,172.6426151,-2.394252798,-2.394252798,-2.394252798,-2.394252798,-2.394252798,-2.394252798,0,0,0,170.2483623
46,2021-09-29,172.6542023,158.0452881,182.6380144,172.6542023,172.6542023,-2.285560092,-2.285560092,-2.285560092,-2.285560092,-2.285560092,-2.285560092,0,0,0,170.3686422
